,gene1,gene2
642,62,1947
643,62,1948
644,62,1993
645,62,2034
646,62,2036
647,62,2053
648,62,2066
649,62,2229
650,62,2230
651,62,2249
652,62,2250
653,62,2359
654,62,2360
655,62,2369
656,62,2423
657,62,2427
658,62,2429
659,62,2430
660,62,2440
661,62,2448
662,62,2449
663,62,2450
664,62,2607
665,62,2610
666,62,2613
667,62,2631
668,62,2694
669,62,2708
670,62,2727
671,62,2732
672,62,2741
673,62,2747
674,62,2769
675,62,2771
676,62,2772
677,62,2780
678,62,2809
679,62,2810
680,62,2833
681,62,2835
682,62,3109
683,62,3111
684,62,3158
685,62,3221
686,62,3237
687,62,3248
688,62,3257
689,62,3278
690,62,3508
691,62,3567
692,62,3584
693,62,3590
694,62,3592
695,62,3616
696,62,3668
697,62,3669
698,62,3675
699,62,3676
700,62,3773
701,62,3776
702,62,3777
703,62,3783
704,62,3820
705,62,3848
706,62,3915
707,62,3973
708,62,4002
709,62,4003
710,62,4011
711,62,4014
712,62,4022
713,62,4023
714,62,4048
715,62,4233
716,62,4267
717,62,4355
718,62,4387
719,62,4388
720,62,4407
721,62,4408
722,62,4564
723,62,4615
724,62,4712
725,62,4715
726,62,4760
727,62,4787
728,62,4876
729,62,4887
730,62,4904
731,62,4909
732,62,4910
733,62,4926
734,62,4940
735,62,5032
736,62,5035
737,62,5060
738,62,5138
739,62,5139
740,62,5150
741,62,5155
742,62,5176
743,62,5181
744,62,5217
745,62,5566
746,62,5698
747,62,5755
748,62,5763
749,62,5789
750,62,5818
751,62,5901
752,62,5915
753,62,5919
754,62,5923
755,62,5932
756,62,5996
757,62,5997
758,62,5998
759,62,6012
760,62,6030
761,62,6044
762,62,6049
763,62,6085
764,62,6151
765,62,6264
766,62,6285
767,62,6337
768,62,6383
769,62,6391
770,62,6428
771,62,6453
772,62,6458
773,62,6485
774,62,6487
775,62,6500
776,62,6545
777,62,6577
778,62,6593
779,62,6601
780,62,6758
781,62,6759
782,62,6787
783,62,6828
784,62,6850
785,62,6879
786,62,6928
787,62,6939
788,62,7036
789,62,7060
790,62,7074
791,62,7090
792,62,7098
793,62,7101
794,62,7158
795,62,7175
796,62,7203
797,62,7228
798,62,7247
799,62,7249
800,62,7252
801,62,7259
802,62,7301
803,62,7373
804,62,7377
805,62,7380
806,62,7395
807,62,7419
808,62,7441
809,62,7513
810,62,7581
811,62,7584
812,62,7586
813,62,7658
814,62,7671
815,62,7716
816,62,7728
817,62,7785
818,62,7873
819,62,7963
820,62,8023
821,62,8027
822,62,8028
823,62,8064
824,62,8067
825,62,8075
826,62,8078
827,62,8193
828,62,8202
829,62,8360
830,62,8480
831,62,8485
832,62,8489
833,62,8491
834,62,8502
835,62,8503
836,62,8509
837,62,8510
838,62,8526
839,62,8594
840,62,8601
841,62,8602
842,62,8607
843,62,8614
844,62,8616
845,62,8632
846,62,8719
847,62,8728
848,62,8734
849,62,8746
850,62,8750
851,62,8788
852,62,8811
853,62,8920
854,62,8984
855,62,8987
856,62,9037
857,62,9187
858,62,9265
859,62,9270
860,62,9277
861,62,9286
862,62,9287
863,62,9327
864,62,9450
865,62,9490
866,62,9499
867,62,9556
868,62,9615
869,62,9685
870,62,9713
871,62,9748
872,62,9750
873,62,9789
874,62,9790
875,62,9794
876,62,9895
877,62,9900
878,62,9913
879,62,9914
880,62,9915
881,62,9916
882,62,9917
883,62,9922
884,63,59
885,63,62
886,63,550
887,63,890
888,63,1194
889,63,1197
890,63,1209
891,63,1390
892,63,1493
893,63,1947
894,63,2053
895,63,2613
896,63,2747
897,63,2769
898,63,2771
899,63,2772
900,63,2986
901,63,3237
902,63,3584
903,63,3592
904,63,3773
905,63,3788
906,63,3878
907,63,3973
908,63,4353
909,63,4387
910,63,4564
911,63,4760
912,63,4910
913,63,5019
914,63,5060
915,63,5156
916,63,5181
917,63,5915
918,63,5996
919,63,5997
920,63,6339
921,63,6593
922,63,6630
923,63,6758
924,63,6828
925,63,7252
926,63,7584
927,63,8023
928,63,8117
929,63,8503
930,63,8614
931,63,9292
932,64,69
933,64,126
934,64,128
935,64,457
936,64,537
937,64,900
938,64,1118
939,64,1169
940,64,1514
941,64,1526
942,64,2193
943,64,3592
944,64,4295
945,64,4641
946,64,4746
947,64,5057
948,64,5809
949,64,6608
950,64,7006
951,64,7881
952,64,8028
953,64,8621
954,64,8665
955,64,8710
956,64,8789
957,64,8812
958,64,9321
959,64,9439
960,64,9495
961,64,9734
962,64,9913
963,64,9914
964,64,9915
965,65,69
966,65,124
967,65,6225
968,65,8621
969,65,9495
970,66,69
971,66,124
972,66,127
973,66,3592
974,66,4159
975,66,8665
976,67,3799
977,68,62
978,68,237
979,68,537
980,68,2574
981,69,64
982,69,65
983,69,66
984,69,124
985,69,126
986,69,127
987,69,5789
988,69,9339
989,70,2220
990,70,7681
991,70,7852
992,72,2002
993,72,2694
994,72,3787
995,72,4952
996,72,5872
997,72,7007
998,72,7112
999,72,7129
1000,72,7354
1001,72,8807
1002,72,8911
1003,73,85
1004,73,102
1005,73,537
1006,73,2957
1007,73,4702
1008,73,6438
1009,73,6665
1010,73,7060
1011,73,7785
1012,73,7903
1013,73,8027
1014,73,8886
1015,73,8987
1016,73,9066
1017,73,9262
1018,73,9278
1019,73,9702
1020,73,9721
1021,73,9722
1022,74,328
1023,74,490
1024,74,645
1025,74,777
1026,74,936
1027,74,972
1028,74,1083
1029,74,1209
1030,74,1328
1031,74,1450
1032,74,1455
1033,74,1456
1034,74,1603
1035,74,1991
1036,74,1997
1037,74,2000
1038,74,2001
1039,74,2002
1040,74,2202
1041,74,2596
1042,74,2633
1043,74,2730
1044,74,2781
1045,74,2991
1046,74,3131
1047,74,3255
1048,74,3646
1049,74,3781
1050,74,4092
1051,74,4234
1052,74,4267
1053,74,4554
1054,74,5111
1055,74,5579
1056,74,5581
1057,74,5789
1058,74,6042
1059,74,6176
1060,74,6420
1061,74,6507
1062,74,6707
1063,74,6759
1064,74,7077
1065,74,7078
1066,74,7080
1067,74,7081
1068,74,7090
1069,74,7183
1070,74,7588
1071,74,7637
1072,74,7740
1073,74,8078
1074,74,8111
1075,74,8116
1076,74,8719
1077,74,8728
1078,74,8789
1079,74,9284
1080,74,9556
1081,74,9568
1082,74,9719
1083,75,1348
1084,75,1997
1085,75,2669
1086,75,3781
1087,75,3878
1088,75,5789
1089,75,6707
1090,75,7077
1091,75,7078
1092,75,7588
1093,76,1668
1094,76,2357
1095,76,2824
1096,76,4742
1097,76,7007
1098,76,9445
1099,77,50
1100,77,244
1101,77,1407
1102,77,2198
1103,77,2349
1104,77,2766
1105,77,5957
1106,77,5958
1107,77,5965
1108,77,5967
1109,77,5978
1110,77,5979
1111,77,5981
1112,77,5983
1113,77,6225
1114,77,6615
1115,77,8114
1116,77,9075
1117,77,9077
1118,77,9138
1119,77,9702
1120,77,9721
1121,79,1123
1122,79,1728
1123,79,2062
1124,79,2818
1125,79,2819
1126,79,3256
1127,79,3781
1128,79,4407
1129,79,6225
1130,79,8740
1131,79,8778
1132,79,9558
1133,80,2552
1134,80,4316
1135,81,1728
1136,81,7680
1137,81,7681
1138,81,8958
1139,81,9052
1140,81,9558
1141,82,343
1142,82,699
1143,82,1423
1144,82,1443
1145,82,1668
1146,82,2596
1147,82,2655
1148,82,2957
1149,82,3542
1150,82,4548
1151,82,6440
1152,82,7752
1153,82,8114
1154,82,8491
1155,83,165
1156,83,176
1157,83,2043
1158,83,2967
1159,83,2968
1160,83,3746
1161,83,4933
1162,83,5594
1163,83,5599
1164,83,5602
1165,83,5603
1166,83,5604
1167,83,5608
1168,83,5610
1169,83,6548
1170,83,9205
1171,83,9249
1172,84,62
1173,84,335
1174,84,1737
1175,84,3592
1176,84,4156
1177,84,4353
1178,84,5915
1179,84,6129
1180,84,6130
1181,84,8614
1182,84,9019
1183,85,73
1184,85,102
1185,85,289
1186,85,1855
1187,85,1981
1188,85,2060
1189,85,2062
1190,85,2957
1191,85,2991
1192,85,3112
1193,85,3166
1194,85,3396
1195,85,3786
1196,85,3861
1197,85,3862
1198,85,4343
1199,85,5111
1200,85,6408
1201,85,6658
1202,85,7369
1203,85,7918
1204,85,7922
1205,85,8114
1206,85,8116
1207,85,8649
1208,85,8777
1209,85,9233
1210,85,9270
1211,85,9506
1212,85,9650
1213,85,9716
1214,86,291
1215,86,363
1216,86,715
1217,86,830
1218,86,1293
1219,86,1482
1220,86,2001
1221,86,3072
1222,86,3216
1223,86,3481
1224,86,3820
1225,86,3861
1226,86,3888
1227,86,5111
1228,86,6225
1229,86,6341
1230,86,6408
1231,86,6794
1232,86,7079
1233,86,7162
1234,86,8984
1235,86,9091
1236,86,9233
1237,86,9327
1238,86,9509
1239,86,9712
1240,86,9721
1241,87,537
1242,88,2995
