,mir,disease
755,27,7885
756,27,8180
757,27,8250
758,27,8683
759,27,8971
760,27,8974
761,27,9038
762,27,9525
763,27,10760
764,27,10761
765,27,11369
766,27,11373
767,27,11463
768,28,527
769,28,534
770,28,863
771,28,1074
772,28,1080
773,28,1444
774,28,1555
775,28,1557
776,28,2117
777,28,2118
778,28,2129
779,28,2135
780,28,2139
781,28,2143
782,28,2147
783,28,2149
784,28,2155
785,28,2160
786,28,2162
787,28,2169
788,28,2176
789,28,2225
790,28,2232
791,28,2401
792,28,2519
793,28,2695
794,28,2710
795,28,2792
796,28,3988
797,28,3994
798,28,4022
799,28,4126
800,28,4402
801,28,4657
802,28,4748
803,28,4751
804,28,5117
805,28,5133
806,28,5383
807,28,5987
808,28,6458
809,28,6586
810,28,6645
811,28,6669
812,28,7445
813,28,7465
814,28,7890
815,28,8140
816,28,8180
817,28,8250
818,28,8486
819,28,8666
820,28,8693
821,28,8966
822,28,8974
823,28,9229
824,28,9950
825,28,10758
826,28,10760
827,28,10761
828,28,10765
829,28,11148
830,28,11369
831,29,727
832,29,1048
833,30,683
834,31,2155
835,31,8974
836,31,11282
837,32,2143
838,32,2155
839,32,2158
840,32,2172
841,32,2710
842,32,9505
843,32,10760
844,33,551
845,33,1444
846,33,2135
847,34,5234
848,34,8693
849,34,8974
850,35,1444
851,35,4657
852,36,9803
853,36,9980
854,37,2158
855,38,551
856,39,1074
857,40,2116
858,41,11513
859,42,11116
860,43,529
861,44,2135
862,44,3397
863,44,4751
864,44,7293
865,44,7378
866,44,8693
867,45,10606
868,45,10833
869,46,2147
870,47,6468
871,48,1557
872,48,2127
873,48,2135
874,48,2143
875,48,2158
876,48,3471
877,48,4657
878,48,4758
879,48,7565
880,48,8140
881,48,8693
882,48,9525
883,49,461
884,49,467
885,49,479
886,49,480
887,49,671
888,49,1043
889,49,1044
890,49,1074
891,49,1080
892,49,1135
893,49,1444
894,49,1557
895,49,2115
896,49,2117
897,49,2120
898,49,2127
899,49,2135
900,49,2136
901,49,2137
902,49,2142
903,49,2143
904,49,2151
905,49,2160
906,49,2162
907,49,2169
908,49,2472
909,49,2571
910,49,2572
911,49,2587
912,49,2710
913,49,2970
914,49,3031
915,49,3446
916,49,3457
917,49,3995
918,49,4400
919,49,4401
920,49,4402
921,49,4657
922,49,4669
923,49,4713
924,49,4751
925,49,4861
926,49,4888
927,49,5132
928,49,5133
929,49,5229
930,49,5231
931,49,5234
932,49,5236
933,49,5242
934,49,5378
935,49,5491
936,49,5542
937,49,5822
938,49,5935
939,49,5937
940,49,5943
941,49,6051
942,49,6053
943,49,6223
944,49,6458
945,49,6468
946,49,6476
947,49,6544
948,49,6575
949,49,6578
950,49,6582
951,49,6585
952,49,6586
953,49,6645
954,49,6669
955,49,6679
956,49,7465
957,49,7565
958,49,7796
959,49,7819
960,49,7850
961,49,8180
962,49,8371
963,49,8486
964,49,8589
965,49,8625
966,49,8666
967,49,8683
968,49,8974
969,49,9300
970,49,9410
971,49,9451
972,49,9525
973,49,9599
974,49,9982
975,49,10376
976,49,10465
977,49,10759
978,49,10831
979,49,10833
980,49,11148
981,49,11453
982,49,11513
983,50,468
984,50,2135
985,50,4400
986,50,4751
987,50,6458
988,50,6585
989,50,6645
990,50,6651
991,50,8180
992,50,9803
993,50,11369
994,51,1557
995,51,4489
996,51,4748
997,51,6384
998,51,7465
999,52,2117
1000,52,5159
1001,52,6645
1002,53,3471
1003,53,4751
1004,53,9525
1005,53,11369
1006,54,1557
1007,54,2129
1008,54,2135
1009,54,2143
1010,54,4657
1011,54,6645
1012,54,8180
1013,54,8666
1014,54,9265
1015,55,2710
1016,55,11369
1017,56,2135
1018,56,9437
1019,57,2135
1020,57,2695
1021,57,4751
1022,57,5231
1023,58,1444
1024,58,2160
1025,59,2160
1026,60,2160
1027,61,2135
1028,61,3471
1029,61,4657
1030,61,6682
1031,62,2135
1032,62,2142
1033,62,2154
1034,62,5378
1035,62,5937
1036,62,6225
1037,62,6682
1038,63,7565
1039,63,10682
1040,64,2565
1041,64,4748
1042,64,6645
1043,65,467
1044,65,468
1045,65,479
1046,65,532
1047,65,534
1048,65,551
1049,65,683
1050,65,727
1051,65,780
1052,65,852
1053,65,863
1054,65,1048
1055,65,1080
1056,65,1435
1057,65,1444
1058,65,1478
1059,65,1557
1060,65,2116
1061,65,2117
1062,65,2119
1063,65,2124
1064,65,2127
1065,65,2129
1066,65,2135
1067,65,2142
1068,65,2143
1069,65,2147
1070,65,2149
1071,65,2155
1072,65,2160
1073,65,2162
1074,65,2173
1075,65,2180
1076,65,2232
1077,65,2389
1078,65,2401
1079,65,2571
1080,65,2684
1081,65,2710
1082,65,2796
1083,65,3031
1084,65,3397
1085,65,3471
1086,65,4144
1087,65,4657
1088,65,4748
1089,65,4751
1090,65,5133
1091,65,5159
1092,65,5222
1093,65,5231
1094,65,5234
1095,65,5937
1096,65,5943
1097,65,6026
1098,65,6464
1099,65,6525
1100,65,6586
1101,65,6645
1102,65,6671
1103,65,6681
1104,65,7445
1105,65,7465
1106,65,7557
1107,65,7873
1108,65,7890
1109,65,8180
1110,65,8224
1111,65,8250
1112,65,8257
